date,plaid_merchant_description,amount,plaid_category,write_off_status (basic rules),ground_truth,keeper_merchant_description,keeper_category,write_off_status (keeper first pass),write_off_status (keeper after 1st session)
2022-04-12,BANK OF AMERICA CREDIT CARD Bill Payment,$221.53,"['Payment', 'Credit Card']",no,no,Bank of America - Credit Card,↔️ transfer,no,no
2022-04-13,MOBILE PURCHASE CITY CHICA PARKING 04/13,$2.21,"['Travel', 'Parking']",no,yes,City of Chicago Parking,🅿️ parking,needs review,yes
2022-04-15,VINEYARD VINES,$88.76,"['Shops', 'Clothing and Accessories']",no,no,Vineyard Vines,👖 clothing,no,no
2022-04-15,MSX CHRYSLER* SVC,$175.83,"['Shops', 'Automotive', 'Car Dealers and Leasing']",no,no,MSX Chrysler,🚗 car insurance,no,no
2022-04-16,GROUPON: AUTHORIZED WEB PURCHASE 04/16 IL:62462,$11.25,"['Shops', 'Digital Purchase']",needs review,no,Groupon,💰 payment,needs review,no
2022-04-18,MOBILE PURCHASE 0417 TST* SUNDAE DONUT HUNTINGTON XXXXX8324,$10.27,"['Food and Drink', 'Restaurants']",needs review,no,Sundae Donut,🍽️ business meal,needs review,needs review
2022-04-18,STARBUCKS 800-782-7282 SEATTLE WAUS,$13.46,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Starbucks,☕ coffee shop,needs review,needs review
2022-04-19,Zelle Transfer Conf# 7adg9h3; Adam,-$25.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Adam,↔️ transfer,no,no
2022-04-20,Debit from Purchase DD DOORDASH TERIYAKIKING,$22.64,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Teriyaki King,🍽️ business meal,no,no
2022-04-20,ONLINE TRANSFER BANK OF AMERICA 4/20 #XXXXX0008324,$500.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-04-21,DD DOORDASH TERIYAKIKING,$24.50,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Teriyaki King,🍽️ business meal,duplicate,duplicate
2022-04-21,CHECKCARD 0420 Speedway,$74.00,"['Travel', 'Gas Stations']",no,no,Speedway,🛒 supermarket,no,no
2022-04-22,DD DOORDASH MARCOSPIZ,$23.00,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Marco's Pizza,🍽️ business meal,no,no
2022-04-22,TARGET DEBIT CRD ACH TRAN CO ID:XXXXX15170 POS TARGET -1108,$51.59,"['Shops', 'Supermarkets and Groceries']",needs review,yes,Target,📦 supplies,needs review,needs review
2022-04-22,PAYMENT - THANK YOU,-$350.00,"['Payment', 'Credit Card']",no,no,Card Payment,↔️ transfer,no,no
2022-04-23,SQUARESPACE INC. HTTPSSQUARESP NY 04/23,$18.75,"['Shops', 'Digital Purchase']",needs review,yes,Squarespace,💻 software,yes,yes
2022-04-25,Online scheduled transfer from CHK 8324 Confirmation# XXXXX59638,-$50.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-04-25,TARGET DEBIT CRD ACH TRAN CO ID:XXXXX15170,$51.59,"['Shops', 'Supermarkets and Groceries']",needs review,duplicate,Target,📦 supplies,duplicate,duplicate
2022-04-25,"NETFLIX, INC 186-65797172 CA CARD8324",$9.99,"['Shops', 'Digital Purchase']",needs review,no,Netflix,📺 entertainment,no,no
2022-04-25,CHECKCARD 0422 TOWN BAGEL - PLAI PLAINVIEW XXXXX0321XXXXXXXXXX8324,$18.77,"['Shops', 'Food and Beverage Store']",needs review,yes,Town Bagel,🍽️ business meal,needs review,needs review
2022-04-25,SQUARESPACE INC.,$18.75,"['Shops', 'Digital Purchase']",needs review,duplicate,Squarespace,💻 software,duplicate,duplicate
2022-04-26,TRADER JO TRAD 04/25 #XXXXX8324 PURCHASE TRADER JO TRADER,$67.82,"['Shops', 'Supermarkets and Groceries']",no,no,Trader Joe's,🛒 groceries,no,no
2022-04-28,Zelle Transfer Conf# 86ak3err; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-04-28,LINKEDIN-781*4103855LNKD.IN/BILL CA,$11.99,"['Shops', 'Digital Purchase']",needs review,yes,LinkedIn,💻 software,yes,yes
2022-04-29,CHECKCARD 0428 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-04-30,3683 WQGGH46L AMAZON.COMHYY650 AMAZON.COM SEATTLEWA C# 0497,$16.66,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-05-01,CHI MKTPL BREWE 05/01 #XXXXX1721 MOBILE PURCHASE MKTPL BREWER,$40.67,"['Shops', 'Food and Beverage Store']",needs review,no,Chicago Marketplace Brewery,🍽️ business meal,needs review,needs review
2022-05-01,CHECKCARD 0501 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,duplicate,Life Time Fitness,💇 personal care,duplicate,duplicate
2022-05-01,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-05-02,CHECKCARD 0429 GENERAL BUILDING MELVILLE XXXXX0321XXXXXXXXXX8324,$84.87,"['Shops', 'Furniture and Home Decor']",needs review,yes,General Building,🛋️ home office expense,needs review,yes
2022-05-02,NY MKTPL BREWE 05/01,$40.67,"['Shops', 'Food and Beverage Store']",needs review,duplicate,Chicago Marketplace Brewery,🍽️ business meal,duplicate,duplicate
2022-05-02,Zelle Transfer Conf# nvizxvsui4; Tim,"-$1,760.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-05-03,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,$90.15,"['Travel', 'Gas Stations']",no,yes,PG&E,🏠 utilities,yes,yes
2022-05-04,ACH WEB IXBB54OYT ADOBE PHOTOSH,$24.50,"['Shops', 'Digital Purchase']",needs review,yes,Adobe Photoshop,💻 software,yes,yes
2022-05-04,Online scheduled transfer from CHK 6335 Confirmation# XXXXX48324,-$25.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-05-05,APPLECARD GSBANK DES:PAYMENT ID:7252385,$138.15,['Service'],needs review,no,Applecard,↔️ transfer,no,no
2022-05-06,CHECKCARD 8324 BUTTERFIELDS REST HAUPPAUGE,$35.88,"['Food and Drink', 'Restaurants']",needs review,no,Butterfields Restaurant,🍽️ business meal,needs review,needs review
2022-05-08,CHECKCARD 8324 BUTTERFIELDS RESTAURANT,$35.88,"['Food and Drink', 'Restaurants']",needs review,duplicate,Butterfields Restaurant,🍽️ business meal,duplicate,duplicate
2022-05-09,Nordstrom,$26.39,"['Shops', 'Department Stores']",needs review,no,Nordstrom,👖 clothing,no,no
2022-05-09,CHECKCARD 0508 MILLER S ALE HOUS COMMACK XXXX,$47.19,"['Food and Drink', 'Restaurants']",needs review,yes,Miller's Ale House,🍽️ business meal,needs review,needs review
2022-05-09,CHECKCARD 0506 www.cvs.com IL XXXXX3721XXXXXXXXXX8324,$30.00,"['Shops', 'Pharmacies']",needs review,no,CVS,📦 supplies,needs review,no
2022-05-10,Dropbox BBBZKILNMV 141-58576933 CA 05/10,$13.99,"['Shops', 'Digital Purchase']",needs review,yes,Dropbox,💻 software,yes,yes
2022-05-10,CHECKCARD SPEEDWAY 07642 COMMACKXXXX,$36.23,"['Travel', 'Gas Stations']",no,no,Speedway,⛽ gas fill up,no,no
2022-05-10,SQ DEBIT LEMONADE REST 25325 #IL5233,$27.32,"['Food and Drink', 'Restaurants']",needs review,no,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-05-12,PAYMENT - THANK YOU,$235.00,"['Payment', 'Credit Card']",no,no,Card Payment,↔️ transfer,no,no
2022-05-12,CHECKCARD 0512 Dunkin' Donuts *PENDING,$8.43,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Dunkin',☕ coffee shop,needs review,no
2022-05-13,t43 SGJJ2322 AMAZON.COMH65YZ34BA AMAZON.COM SEATTLEWA C# 8324,$13.85,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-05-14,CHECKCARD 0513 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-05-14,RECURRING DEBIT CARD XXXXX2069 TMOBILEAUTO PAY XXXXX8324,$75.99,"['Service', 'Telecommunication Services']",yes,yes,T-Mobile,📶 phone bill,yes,yes
2022-05-13,BANK OF AMERICA CREDIT CARD Bill Payment,$233.00,"['Payment', 'Credit Card']",no,no,Bank of America - Credit Card,↔️ transfer,no,no
2022-05-13,Dunkin' Donuts,$8.43,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,duplicate,Dunkin',☕ coffee shop,duplicate,duplicate
2022-05-15,MSX CHRYSLER* SVC,$75.83,"['Shops', 'Automotive', 'Car Dealers and Leasing']",no,no,MSX Chrysler,🚗 car insurance,no,no
2022-05-16,DD DOORDASH MARCOSPIZ,$24.55,"['Food and Drink', 'Restaurants']",needs review,yes,Doordash - Marco's Pizza,🍽️ business meal,needs review,needs review
2022-05-16,CHECKCARD 0514 SPEEDWAY 07798 NORTHPORT XXXXXXX8324,$47.23,"['Travel', 'Gas Stations']",no,no,Speedway,⛽ gas fill up,no,no
2022-05-17,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-05-17,Dunkin' Donuts,$10.87,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Dunkin',☕ coffee shop,needs review,needs review
2022-05-18,CHECKCARD 0514 GINOS OF NORTHPORXX8324,$3.48,"['Food and Drink', 'Restaurants']",needs review,no,Ginos Of Northport,🍽️ business meal,no,no
2022-05-19,Dunkin' Donuts,$11.76,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,duplicate,Dunkin',☕ coffee shop,duplicate,duplicate
2022-05-21,DICE.FM HTTPSDICE.FM,$46.77,"['Community', 'Organizations and Associations', 'Charities and Non-Profits']",needs review,no,Dice.fm,🏟️ event,needs review,no
2022-05-21,BKOFAMERICA MOBILE 05/21 XXXXX34484 DEPOSIT *MOBILE,-$35.00,"['Transfer', 'Deposit']",no,no,Bank of America - Mobile Deposit,↔️ transfer,no,no
2022-05-23,CHECKCARD 0520 NURX.CO SAN FRANCISCOCA XXXXX1621XXXXXXXXXX5994,$25.00,['Service'],no,no,Nurx,🏥 medical expense,no,no
2022-05-23,STARBUCKS 800-782-7282 SEATTLE WAUS,$14.53,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,yes,Starbucks,☕ coffee shop,needs review,needs review
2022-05-23,"NETFLIX, INC 186-65797172 CA CARD8324",$9.99,"['Shops', 'Digital Purchase']",needs review,no,Netflix,📺 entertainment,no,no
2022-05-25,LEMONADE I* LEMONADE I NEW YORK CITY NY 23062 Mobile Purchase,$10.99,"['Food and Drink', 'Restaurants']",needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-05-26,SQUARESPACE INC. HTTPSSQUARESP NY 05/26,$18.75,"['Shops', 'Digital Purchase']",needs review,yes,Squarespace,💻 software,yes,yes
2022-05-28,Zelle Transfer Conf# 86ak3err; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-05-28,Zelle Transfer Conf# 07jb634st; Tim,"-$2,150.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-05-30,ONLINE TRANSFER BANK OF AMERICA 5/30 #XXXXX0008324,$250.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-06-01,CHECKCARD 0601 NURX.CO SAN FRANCISCOCA XXXXX1621XXXXXXXXXX7316,$10.00,['Service'],no,no,Nurx,🏥 medical expense,no,no
2022-06-01,CHECKCARD 06/01 CKO*PATREON* MEMBERSHI XXX-XX28766,$8.00,"['Service', 'Subscription']",no,no,Patreon,📺 entertainment,no,no
2022-06-01,PURCHASE 06/01 UBER * EATS PENDING,$13.98,"['Food and Drink', 'Restaurants']",needs review,no,Uber Eats,🍽️ business meal,no,no
2022-06-01,CHECKCARD 06/01 EXPRESSVPN.COM XXX-XX18492 DE,$12.95,['Service'],needs review,yes,ExpressVPN,💻 software,needs review,yes
2022-06-02,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-06-02,CHECKCARD DAISO TX01 CARROL CARROLLTON TX ON 06/02,$5.95,['Shops'],needs review,no,Daiso,📦 supplies,needs review,needs review
2022-06-02,PURCHASE 06/02 UBER * EATS PENDING,$15.59,"['Food and Drink', 'Restaurants']",needs review,no,Uber Eats,🍽️ business meal,no,no
2022-06-02,CHECKCARD 06/02 DAISO TX01 CARROLLTON,$5.95,['Shops'],needs review,no,Daiso,📦 supplies,needs review,no
2022-06-02,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,$86.34,"['Travel', 'Gas Stations']",no,yes,PG&E,🏠 utilities,yes,yes
2022-06-02,CHECKCARD 06/02 HANABI,$8.12,"['Food and Drink', 'Restaurants']",needs review,no,Hanabi Sushi,🍽️ business meal,needs review,no
2022-06-03,CHECKCARD 0602 ADDISON FOOD MART ADDISON XXXXX3323XXXXXXXXXX7306,$3.78,"['Travel', 'Gas Stations']",needs review,no,Addison Food Mart,🛒 groceries,no,no
2022-06-03,CHECKCARD 0601 CKO*Patreon* Membership XXX-XX28766 CA XXXXX4130XXXXXXXXXX5976 RECURRING,$8.00,"['Service', 'Subscription']",no,duplicate,Patreon,📺 entertainment,duplicate,duplicate
2022-06-03,PAYPAL DES:INST XFER ID:FORTYONEENT INDN:AD LIBERTATEM CO ID:PAYPALSI77 WEB,$10.00,"['Transfer', 'Third Party', 'PayPal']",needs review,no,Paypal,💰 payment,no,no
2022-06-04,7ELEVEN-FCTI 06/04 #XXXXX1277 WITHDRWL 14300 MONTFORT,$23.95,"['Shops', 'Convenience Stores']",needs review,no,7-Eleven,🛒 supermarket,no,no
2022-06-04,CHECKCARD 0603 WARHAMMER #416 GRAPEVINE XXXXX0030XXXXXXXXXX08324,$4.06,"['Food and Drink', 'Restaurants']",needs review,no,Warhammer,📺 entertainment,no,no
2022-06-04,PURCHASE 0604 TRYHACKME.COM LONDON XXXXX4730XXXXXXXXXX5655 RECURRING INTERNATIONAL TRANSACTION FEE,$0.30,"['Bank Fees', 'Foreign Transaction']",needs review,no,International Transaction Fee,🏦 bank fee,no,no
2022-06-04,CHECKCARD 0602 DAISO TX01 CARROLLTON CARROLLTON TX XXXXX0530XXXXXXXXXX2871,$5.95,['Shops'],needs review,duplicate,Daiso,📦 supplies,duplicate,duplicate
2022-06-04,CHECKCARD 7-11 STORE 36348 DALLAS TX ON 06/04,$12.00,"['Travel', 'Gas Stations']",needs review,no,7-Eleven,🛒 supermarket,no,no
2022-06-04,PURCHASE 0604 TRYHACKME.COM LONDON XXXXX4730XXXXXXXXXX5655 RECURRING,$10.00,['Service'],needs review,yes,Tryhackme,💰 payment,needs review,yes
2022-06-05,ACH HOLD USR ElectricBill D ON 06/05,$81.37,"['Service', 'Utilities', 'Electric']",yes,yes,USR Electric Bill,🏠 utilities,yes,yes
2022-06-06,PURCHASE UBER SAN FRANCISCO CA ON 06/06,$23.08,"['Travel', 'Taxi']",needs review,yes,Uber,🚗 ride,needs review,needs review
2022-06-06,CHECKCARD LITTLE CAESARS 1617 000 CHICAGO XXXXX0030XXXXXXXXXX8234,$31.63,"['Food and Drink', 'Restaurants', 'Fast Food']",needs review,yes,Little Caesars,🍔 fast food,needs review,needs review
2022-06-06,PURCHASE 06/06 UBER ,$23.08,"['Food and Drink', 'Restaurants']",needs review,duplicate,Uber,🚗 ride,duplicate,duplicate
2022-06-06,CHECKCARD Twitch ON 06/06,$5.99,"['Shops', 'Digital Purchase']",needs review,no,Twitch,📺 entertainment,no,no
2022-06-08,ACH WEB IXBB5DD4OYT ADOBE PHOTOSH,$24.50,"['Shops', 'Digital Purchase']",needs review,yes,Adobe Photoshop,💻 software,yes,yes
2022-06-09,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-06-09,HOBBYTOWN 6060 E MOCKI 06/09 #XXXXX0327692 PURCHASE HOBBYTOWN 6060 E MOCKI,$12.42,"['Shops', 'Hobby and Collectibles']",needs review,no,Hobbytown,📺 entertainment,no,no
2022-06-10,MURPHY EXPRESS 06/10 #XXXXX0538 PURCHASE MURPHY EXPRESS,$34.44,"['Travel', 'Gas Stations']",no,no,Murphy Express,⛽ gas fill up,no,no
2022-06-10,CHECKCARD ATT*BILL PAYMENT ON 06/10,$91.25,"['Service', 'Telecommunication Services']",yes,yes,AT&T,📶 phone bill,yes,yes
2022-06-10,CHECKCARD CMRE XXX-XX89118 NC ON 06/10,$25.00,"['Food and Drink', 'Restaurants']",needs review,no,CMRE,💰 payment,no,no
2022-06-11,Dropbox BBBZKILNMV 141-58576933 CA 06/11,$13.99,"['Shops', 'Digital Purchase']",needs review,yes,Dropbox,💻 software,yes,yes
2022-06-11,CHECKCARD 0609 NTTA AUTOCHARGE TX XXXXX1630XXXXXXXXXX0688,$20.00,"['Travel', 'Tolls and Fees']",no,no,NTTA,🛂 toll fee,no,no
2022-06-11,CHECKCARD 0611 WM SUPERC Wal-,$18.03,"['Shops', 'Supermarkets and Groceries']",needs review,no,Walmart,📦 supplies,needs review,needs review
2022-06-11,CHECKCARD 0611 Jack in the Box,$10.47,"['Food and Drink', 'Restaurants', 'Fast Food']",needs review,no,Jack In The Box,🍔 fast food,needs review,no
2022-06-12,7ELEVEN-FCTI 06/12 #XXXXX1277 WITHDRWL 14300 MONTFORT,$3.99,"['Shops', 'Convenience Stores']",needs review,no,7-Eleven,🛒 supermarket,no,no
2022-06-13,PURCHASE PAYPAL *VTUBEKGIN XXXXX67705 CA ON 06/13,$2.00,"['Transfer', 'Third Party', 'PayPal']",needs review,no,Paypal - Vtubekgin,💰 payment,needs review,no
2022-06-13,Zelle Transfer Conf# t28d732gh; Walter,-$21.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Walter,↔️ transfer,no,no
2022-06-14,STARBUCKS 800-782-7282 SEATTLE WAUS,$6.25,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,yes,Starbucks,☕ coffee shop,needs review,yes
2022-06-15,CHECKCARD 06/15 CLIFFSNOTES +XXXXX349397,$9.00,"['Transfer', 'Debit']",needs review,yes,CliffsNotes,🎓 industry education,needs review,yes
2022-06-15,STARBUCKS 800-782-7282 SEATTLE WAUS,$6.25,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,duplicate,Starbucks,☕ coffee shop,needs review,yes
2022-06-16,POS DEBIT UDEMY SAN FRANCISC CA 0CN0 6951,$17.99,"['Shops', 'Digital Purchase']",needs review,yes,Udemy,🎓 industry education,needs review,yes
2022-06-16,CHECKCARD 06/16 NORTON *APXXXXX04815,$8.65,['Service'],needs review,yes,Norton,💻 software,yes,yes
2022-06-17,ACH HOLD PAYPAL INST XFER ON 06/17,$24.95,"['Transfer', 'Third Party', 'PayPal']",needs review,no,Paypal,💰 payment,needs review,needs review
2022-06-18,CHECKCARD AMERICAN SHAMAN A ADDISON ON 06/18,$5.53,"['Food and Drink', 'Restaurants']",needs review,no,American Shaman,🛒 supermarket,no,no
2022-06-18,SQUARESPACE INC. HTTPSSQUARESP NY 06/18,$18.75,"['Shops', 'Digital Purchase']",needs review,yes,Squarespace,💻 software,yes,yes
2022-06-18,2/14 BOTTLE & BARREL,$88.00,"['Food and Drink', 'Restaurants']",needs review,no,Bottle & Barrel,🍽️ business meal,needs review,needs review
2022-06-19,MURPHY EXPRESS 06/18 #XXXXX2812 PURCHASE MURPHY EXPRESS,$10.89,"['Travel', 'Gas Stations']",no,no,Murphy Express,⛽ gas fill up,no,no
2022-06-20,CHECKCARD AMERICAN SHAMAN ADDISON,$5.53,"['Food and Drink', 'Restaurants']",needs review,duplicate,American Shaman,🛒 supermarket,duplicate,duplicate
2022-06-20,CHECKCARD ATT* BILL PAYMENT CHICAGO IL ON 06/20,$63.74,"['Service', 'Telecommunication Services']",yes,yes,AT&T,📶 phone bill,yes,yes
2022-06-21,CHECKCARD 06/21 STEAM PURCHASE XXX-XX22985,$8.65,"['Shops', 'Digital Purchase']",needs review,no,Steam,📺 entertainment,no,no
2022-06-23,Monthly Maintenance Fee,$8.00,['Bank Fees'],yes,no,Maintenance Fee,🏦 bank fee,no,no
2022-06-23,CHECKCARD 06/23 NU CARE CLEANERS,$20.57,"['Service', 'Personal Care']",no,no,Nu Care Cleaners,💇 personal care,no,no
2022-06-23,PAYPAL DES:INST XFER ID:BARTLEBY INDN:AD LIBERTATEM CO ID:PAYPALSI77 WEB,$4.99,"['Transfer', 'Third Party', 'PayPal']",needs review,no,Paypal,💰 payment,needs review,no
2022-06-23,CHECKCARD 0621 KINOKUNIYA BOOKSTORES XXXXX7930XXXXXXXXXX8324,$32.46,"['Shops', 'Bookstores']",needs review,no,Kinokuniya Bookstores,🎓 industry education,needs review,no
2022-06-24,LEMONADE I* LEMONADE I NEW YORK CITY NY 23022 Mobile Purchase,$10.99,"['Food and Drink', 'Restaurants']",needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-06-25,CHECKCARD 06/23 STAPLES 1127,$17.30,"['Shops', 'Office Supplies']",needs review,yes,Staples,📦 supplies,needs review,needs review
2022-06-25,CHECKCARD 0625 WM SUPERC Wal-,$8.98,"['Shops', 'Supermarkets and Groceries']",needs review,no,Walmart,📦 supplies,needs review,no
2022-06-26,LINKEDIN-781*4103855LNKD.IN/BILL CA,$11.99,"['Shops', 'Digital Purchase']",needs review,yes,LinkedIn,💻 software,yes,yes
2022-06-28,Zelle Transfer Conf# 22h49jh5be; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-06-29,STARBUCKS 800-782-7282 SEATTLE WAUS,$6.34,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Starbucks,☕ coffee shop,needs review,no
2022-06-29,PURCHASE CHEGG SANTA CLARA CA ON 06/29,$21.60,"['Shops', 'Bookstores']",needs review,no,Chegg,🎓 industry education,needs review,needs review
2022-06-30,CHECKCARD 0606 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-07-02,Zelle Transfer Conf# nvizxvsui4; Tim,"-$1,960.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-07-02,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-07-03,MOBILE PURCHASE 07/03 MARATHON PETRO11,$73.52,"['Travel', 'Gas Stations']",no,no,Marathon,⛽ gas fill up,no,no
2022-07-03,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,$90.15,"['Travel', 'Gas Stations']",no,yes,PG&E,🏠 utilities,yes,yes
2022-07-04,PMNT SENT 0704 APPLE CASH - SENT CA XXXXX3630XXXXXXXXXX8324,$744.20,"['Payment', 'Credit Card']",no,no,Apple Card Payment,↔️ transfer,no,no
2022-07-05,3683 MJ4LBR3A AMAZON.COMH51UG38I0 AMAZON.COM SEATTLEWA C# 0497,$22.92,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-07-05,DENNY'S #1 POSPUR 548109 253 MAIN STREET 0047 CHICAGO IL 66110 034700,$26.98,"['Food and Drink', 'Restaurants']",needs review,no,Denny's,🍽️ business meal,needs review,no
2022-07-06,RECURRING DEBIT CARD XXXXX2069 TMOBILEAUTO PAY XXXXX8324,$75.99,"['Service', 'Telecommunication Services']",yes,yes,T-Mobile,📶 phone bill,yes,yes
2022-07-06,DENNY'S #1 POSPUR,$31.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Denny's,🍽️ business meal,duplicate,duplicate
2022-07-06,Debit from Purchase DD DOORDASH MARCOSPIZ,$19.25,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Marco's Pizza,🍽️ business meal,no,no
2022-07-07,8873 ATJJ2322 AMAZON.COMH65YZ34BA AMAZON.COM SEATTLEWA C# 0497,$30.24,"['Shops', 'Digital Purchase']",needs review,no,Amazon,📦 supplies,needs review,needs review
2022-07-08,ACH WEB IXBB54OYT ADOBE PHOTOSH,$24.50,"['Shops', 'Digital Purchase']",needs review,yes,Adobe Photoshop,💻 software,yes,yes
2022-07-08,PLAYSTATION NETWORK XXXXX7669,$16.99,"['Shops', 'Digital Purchase']",needs review,no,Playstation Network,📺 entertainment,no,no
2022-07-08,DD DOORDASH MARCOSPIZ,$23.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Marco's Pizza,🍽️ business meal,duplicate,duplicate
2022-07-09,DOS TOROS MEXICAN GRI CHICAGO IL WITHDRWL XX2525,$18.99,"['Food and Drink', 'Restaurants']",needs review,yes,Dos Toros,🍽️ business meal,needs review,yes
2022-07-09,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-07-09,DEBIT ONLINE PURCHASE 1/09 XXXX8324,$24.86,"['Shops', 'Digital Purchase']",needs review,no,Online Purchase,💰 other expense,needs review,no
2022-07-10,eBay O*25- DDAVCH,$24.86,"['Shops', 'Digital Purchase']",needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-07-10,DOS TOROS MEXICAN GRI CHICAGO IL,$18.99,"['Food and Drink', 'Restaurants']",needs review,duplicate,Dos Toros,🍽️ business meal,duplicate,duplicate
2022-07-11,MOBILE PURCHASE 07/11 MARATHON PETRO11,$65.45,"['Travel', 'Gas Stations']",no,no,Marathon,⛽ gas fill up,no,no
2022-07-12,Monthly Maintenance Fee,$12.00,['Bank Fees'],yes,no,Monthly Maintenance Fee,🏦 bank fee,no,no
2022-07-12,"DEBIT CARD PURCHASE AT SAM`S CORNER LIQUOR, CHICAGO, IL ON 011223 FROM CARD#: XXXXXXXXXXXX8324",$47.73,"['Shops', 'Supermarkets and Groceries']",no,no,Sam's Corner Liquor,🛒 groceries,no,no
2022-07-13,BANK OF AMERICA ATM 07/13 #XXXXX0008324 WITHDRWL 3RD AND MAIN,$100.00,['Bank Fees'],no,no,ATM Withdrawal,↔️ transfer,no,no
2022-07-15,HOUSE OF SHABU SHABU,$102.00,"['Food and Drink', 'Restaurants']",needs review,yes,House of Shabu Shabu,🍽️ business meal,needs review,needs review
2022-07-15,Dropbox BBBZKILNMV 141-58576933 CA 07/15,$13.99,"['Shops', 'Digital Purchase']",needs review,yes,Dropbox,💻 software,yes,yes
2022-07-15,9643 OUT3R3A AMAZON.COMJTII35PT AMAZON.COM SEATTLEWA C# 0497,$10.26,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
